Neighborhood Number,Mean Pseudotime,SEM
1,0.31818946528820696,0.019473932497870532
34,0.3152830564652251,0.017289570047258875
67,0.3149177016014916,0.016682769414349933
100,0.31261127551739587,0.016217238577627455
133,0.310722310545481,0.01569511102712164
166,0.30879335136872244,0.015124698913787291
199,0.3083121430506456,0.014478622874261335
232,0.30870715542242866,0.014001072067565404
265,0.30741692477355526,0.013550970367619042
298,0.3071674247766653,0.013131416729127822
331,0.3068508844888574,0.012783763737387226
364,0.30638526957667384,0.01254524848477167
397,0.3062626169081137,0.012338853989135349
430,0.30590133850647044,0.012137354988865475
463,0.3057762432432095,0.01192219374332438
496,0.3052995362728541,0.011817361425474899
529,0.30459788677407784,0.011708915392053014
562,0.304092071861606,0.011505654671491197
595,0.3038029476266361,0.01134757476691079
628,0.30310990318152026,0.011195974557560193
661,0.302633199266232,0.011057781845262545
694,0.3018227727887254,0.010823851600492054
727,0.3014571904571161,0.010678575103932622
760,0.3006848552149562,0.010459420303786878
793,0.30016999934733274,0.010308857138349335
826,0.2993996543086363,0.010156831590007697
859,0.2986498403133359,0.010002885756602782
892,0.2980147216792272,0.009902723611365728
925,0.2977119061339428,0.00978895347658062
958,0.2974131662553044,0.009698712501496197
991,0.29706148406390986,0.009609869504592443
