Colony Size,Pseudotime,Group
29.0,0.15922283361923398,DC3000
54.0,0.17828894804521708,DC3000
50.0,0.2108996348638263,DC3000
30.0,0.20878605501106628,DC3000
38.0,0.20300678252264462,DC3000
25.0,0.24414675738594513,DC3000
23.0,0.21206371170536764,DC3000
16.0,0.11068421380253021,DC3000
40.0,0.157407567987281,DC3000
48.0,0.16945374848599154,DC3000
11.0,0.16028903774341133,DC3000
3.0,0.28760956387799996,Avrrpt2
3.0,0.19622822494480002,Avrrpt2
12.0,0.288307099936,Avrrpt2
3.0,0.20788744998719996,Avrrpt2
1.0,0.238906625032,Avrrpt2
1.0,0.28642721357199996,Avrrpt2
1.0,0.28642721357199996,Avrrpt2
5.0,0.28642721357199996,Avrrpt2
2.0,0.32238200572799997,Avrrpt2
5.0,0.29400124281199996,Avrrpt2
22.0,0.323677311916,Avrrpt2
4.0,0.24763589561759997,Avrrpt2
4.0,0.337828101824,Avrrpt2
6.0,0.337828101824,Avrrpt2
1.0,0.34791988335599994,Avrrpt2
3.0,0.18580788886959998,Avrrpt2
2.0,0.543656811552,Avrrpt2
27.0,0.6338037179,Avrrpt2
16.0,0.3945800363792,Avrrpt2
19.0,0.4224025688288,Avrrpt2
1.0,0.434954544328,Avrrpt2
10.0,0.23007928244000003,Avrrpt2
7.0,0.367707463244,Avrrpt2
1.0,0.347470842312,Avrrpt2
4.0,0.333414770064,Avrrpt2
1.0,0.23544789092880003,Avrrpt2
4.0,0.262517294336,Avrrpt2
2.0,0.24959914300799996,Avrrpt2
1.0,0.3704352422968,Avrrpt2
