,median_distance_from_centroid,number_hrpl,hrpl_median_distance_from_centroid,number_pvds,pvds_median_distance_from_centroid,total_spots_in_colony,hull_area
0,25.439664632219344,1,18.900066137450406,1,36.47482008180437,5,3662.999999999999
1,14.807904145740698,1,8.303680576172901,1,8.303680576172901,5,910.0000000000001
2,37.536017239186485,7,42.38840177942292,20,34.03851774399139,39,13227.0
3,48.39462768460464,9,42.18772757231147,7,37.35411955701415,19,8308.499999999998
4,28.65640018057482,5,19.81654639686095,5,20.735646681689126,11,6785.0
5,28.65640018057482,5,19.81654639686095,5,20.735646681689126,11,6785.000000000001
6,28.65640018057482,5,19.81654639686095,5,20.735646681689126,11,6785.000000000001
7,31.870176658197554,7,27.80261373303599,15,33.74059773242793,27,4570.5
8,24.40471379733491,2,13.52930571657605,9,30.408081033938938,13,3681.4999999999986
9,28.685454916637546,5,29.305986226904167,16,34.945527109981924,26,5946.999999999998
10,53.418322672484756,10,51.2873535214192,55,50.467867198825324,87,19481.5
11,30.136651566596463,4,30.90431211627473,5,22.744690534362444,13,5263.000000000001
12,30.136651566596463,4,30.90431211627473,5,22.744690534362444,13,5262.999999999999
13,36.05842921884127,0,,4,33.48919260276197,10,10125.500000000002
14,14.494356684041138,0,,0,,1,963.5000000000005
15,43.663566443713414,5,29.682651287513927,19,49.42899806648485,27,5637.499999999999
16,25.972710728646554,2,28.556325714355957,10,29.671775172668816,14,4198.500000000002
17,56.40872292818681,15,49.33788431826619,40,48.71156713252699,82,35872.5
18,62.935356612173116,20,33.25527096245994,66,41.432971054835654,102,38031.5
19,54.17646209126938,24,53.479289254386174,62,47.99571902749649,105,34058.5
20,11.06205634157824,0,,2,15.676839192497468,3,447.49999999999994
21,36.55169539380851,12,34.126241684634586,25,35.821217183510946,47,14323.0
22,44.47543811117277,7,38.77401458044185,16,37.672797777550805,30,15477.500000000004
23,10.837626350452963,1,7.029944405412832,0,,2,311.5
24,30.57288225649197,1,39.88099974455254,2,43.31481722034731,7,4870.5
25,16.218166130417305,0,,0,,1,579.4999999999995
26,35.69181962205932,4,43.10756669423499,13,39.91278427777286,21,6243.999999999999
27,30.18313299389698,4,44.68578059348953,7,42.67892984767714,13,4957.499999999998
28,22.247396462361948,1,39.27721609460136,2,29.131996849854396,4,2177.9999999999995
